type;T;p;size;result
hybrid;16.190433;3;100000000;5761455
hybrid;16.302435;3;100000000;5761455
hybrid;16.080006;3;100000000;5761455
hybrid;16.724123;3;100000000;5761455
hybrid;16.037073;3;100000000;5761455
hybrid;16.187260;3;100000000;5761455
hybrid;16.176581;3;100000000;5761455
openmp;19.041402;5;100000000;5761455
openmp;18.894092;5;100000000;5761455
openmp;19.779115;5;100000000;5761455
openmp;19.858713;5;100000000;5761455
openmp;18.816094;5;100000000;5761455
openmp;18.709427;5;100000000;5761455
openmp;19.698112;5;100000000;5761455
openmp;20.083307;5;100000000;5761455
openmp;19.161273;5;100000000;5761455
openmp;19.657171;5;100000000;5761455
mpi;17.846727;5;100000000;5761455
mpi;18.062837;5;100000000;5761455
mpi;18.005950;5;100000000;5761455
mpi;18.001216;5;100000000;5761455
mpi;17.920085;5;100000000;5761455
mpi;18.147613;5;100000000;5761455
mpi;17.838013;5;100000000;5761455
mpi;18.234364;5;100000000;5761455
mpi;17.863388;5;100000000;5761455
mpi;18.060424;5;100000000;5761455
hybrid;9.912420;5;100000000;5761455
hybrid;9.846991;5;100000000;5761455
hybrid;9.752325;5;100000000;5761455
hybrid;9.774656;5;100000000;5761455
hybrid;10.164639;5;100000000;5761455
hybrid;10.522520;5;100000000;5761455
hybrid;9.846456;5;100000000;5761455
hybrid;9.685474;5;100000000;5761455
hybrid;10.632946;5;100000000;5761455
hybrid;10.792323;5;100000000;5761455
openmp;16.864415;6;100000000;5761455
openmp;17.585279;6;100000000;5761455
openmp;16.852677;6;100000000;5761455
openmp;16.945572;6;100000000;5761455
openmp;17.112259;6;100000000;5761455
openmp;16.404498;6;100000000;5761455
openmp;17.503294;6;100000000;5761455
openmp;17.285056;6;100000000;5761455
openmp;17.742743;6;100000000;5761455
openmp;17.422804;6;100000000;5761455
mpi;15.387782;6;100000000;5761455
mpi;15.081730;6;100000000;5761455
mpi;16.037508;6;100000000;5761455
mpi;15.399059;6;100000000;5761455
mpi;15.293744;6;100000000;5761455
mpi;15.340592;6;100000000;5761455
mpi;15.321865;6;100000000;5761455
mpi;15.803143;6;100000000;5761455
mpi;16.051113;6;100000000;5761455
mpi;15.973201;6;100000000;5761455
hybrid;8.940174;6;100000000;5761455
hybrid;8.597279;6;100000000;5761455
hybrid;8.795441;6;100000000;5761455
hybrid;8.793347;6;100000000;5761455
hybrid;8.749958;6;100000000;5761455
hybrid;8.824833;6;100000000;5761455
hybrid;8.612638;6;100000000;5761455
hybrid;8.864952;6;100000000;5761455
hybrid;8.610711;6;100000000;5761455
hybrid;8.195771;6;100000000;5761455
openmp;15.713422;7;100000000;5761455
openmp;15.641821;7;100000000;5761455
openmp;16.260713;7;100000000;5761455
